company_id,year,cfo,cfi,cff,fcf,borrowings_change,pattern_label
ABB,2012.0,101.0,-59.0,-42.0,42.0,0.0,Reinvestor
ABB,2014.0,0.0,0.0,0.0,0.0,0.0,Mixed
ABB,2015.0,-35.0,-1864.0,1902.0,-1899.0,0.0,Growth Funded by Debt
ABB,2016.0,1544.0,-816.0,-722.0,728.0,0.0,Reinvestor
ABB,2017.0,2189.0,-1730.0,-455.0,459.0,0.0,Reinvestor
ABB,2018.0,2198.0,-3192.0,1589.0,-994.0,0.0,Mixed
ABB,2019.0,2591.0,-3050.0,38.0,-459.0,0.0,Mixed
ABB,2020.0,5437.0,-5643.0,1250.0,-206.0,175.0,Mixed
ABB,2021.0,3784.0,-4009.0,-745.0,-225.0,-22.0,Reinvestor
ABB,2022.0,4097.0,-3936.0,-235.0,161.0,-1.0,Reinvestor
ABB,2023.0,3777.0,-4699.0,923.0,-922.0,-39.0,Mixed
ABB,2024.0,6038.0,-4943.0,-543.0,1095.0,-53.0,Reinvestor
ADANIENSOL,2014.0,0.0,0.0,0.0,0.0,0.0,Mixed
ADANIENSOL,2015.0,-35.0,-1864.0,1902.0,-1899.0,9701.0,Growth Funded by Debt
ADANIENSOL,2016.0,1544.0,-816.0,-722.0,728.0,-1116.0,Reinvestor
ADANIENSOL,2017.0,2189.0,-1730.0,-455.0,459.0,390.0,Reinvestor
ADANIENSOL,2018.0,2198.0,-3192.0,1589.0,-994.0,1453.0,Mixed
ADANIENSOL,2019.0,2591.0,-3050.0,38.0,-459.0,9709.0,Mixed
ADANIENSOL,2020.0,5437.0,-5643.0,1250.0,-206.0,4109.0,Mixed
ADANIENSOL,2021.0,3784.0,-4009.0,-745.0,-225.0,2849.0,Reinvestor
ADANIENSOL,2022.0,4097.0,-3936.0,-235.0,161.0,2807.0,Reinvestor
ADANIENSOL,2023.0,3777.0,-4699.0,923.0,-922.0,4368.0,Mixed
ADANIENSOL,2024.0,6038.0,-4943.0,-543.0,1095.0,4739.0,Reinvestor
ADANIENT,2013.0,7666.0,-14790.0,7199.0,-7124.0,0.0,Mixed
ADANIENT,2014.0,8228.0,-8007.0,-1109.0,221.0,2648.0,Reinvestor
ADANIENT,2015.0,8532.0,-11465.0,3445.0,-2933.0,11591.0,Mixed
ADANIENT,2016.0,5112.0,-1825.0,-3448.0,3287.0,-64402.0,Reinvestor
ADANIENT,2017.0,774.0,-1460.0,716.0,-686.0,1677.0,Mixed
ADANIENT,2018.0,2942.0,-7649.0,5120.0,-4707.0,-3209.0,Mixed
ADANIENT,2019.0,3236.0,2487.0,-6158.0,5723.0,-6394.0,Liquidating Assets
ADANIENT,2020.0,2454.0,-1082.0,-221.0,1372.0,1176.0,Reinvestor
ADANIENT,2021.0,4043.0,-8611.0,3109.0,-4568.0,3808.0,Mixed
ADANIENT,2022.0,1385.0,-17041.0,15901.0,-15656.0,25377.0,Mixed
ADANIENT,2023.0,17626.0,-15459.0,-1198.0,2167.0,11596.0,Reinvestor
ADANIENT,2024.0,10312.0,-18767.0,8879.0,-8455.0,27227.0,Mixed
ADANIGREEN,2017.0,28.0,-1511.0,1559.0,-1483.0,0.0,Mixed
ADANIGREEN,2018.0,649.0,-4428.0,3942.0,-3779.0,5517.0,Mixed
ADANIGREEN,2019.0,1625.0,-2666.0,1045.0,-1041.0,1278.0,Mixed
ADANIGREEN,2020.0,1965.0,-3743.0,2161.0,-1778.0,3724.0,Mixed
ADANIGREEN,2021.0,1601.0,-9137.0,7083.0,-7536.0,9343.0,Mixed
ADANIGREEN,2022.0,3127.0,-18730.0,15986.0,-15603.0,28623.0,Mixed
ADANIGREEN,2023.0,7265.0,-3857.0,-2973.0,3408.0,1391.0,Reinvestor
ADANIGREEN,2024.0,7713.0,-21060.0,13953.0,-13347.0,13207.0,Mixed
ADANIPORTS,2013.0,1379.0,-5136.0,4138.0,-3757.0,0.0,Mixed
ADANIPORTS,2014.0,1132.0,-2510.0,772.0,-1378.0,1359.0,Mixed
ADANIPORTS,2015.0,3057.0,-2485.0,-237.0,572.0,4797.0,Reinvestor
ADANIPORTS,2016.0,2381.0,-4153.0,2170.0,-1772.0,4566.0,Mixed
ADANIPORTS,2017.0,4063.0,-2629.0,-1325.0,1434.0,-128.0,Reinvestor
ADANIPORTS,2018.0,5608.0,-3846.0,-1889.0,1762.0,156.0,Reinvestor
ADANIPORTS,2019.0,6029.0,-4368.0,2313.0,1661.0,5342.0,Mixed
ADANIPORTS,2020.0,7402.0,-749.0,-4256.0,6653.0,2530.0,Reinvestor
ADANIPORTS,2021.0,7556.0,-14064.0,3514.0,-6508.0,5613.0,Mixed
ADANIPORTS,2022.0,10420.0,-5493.0,-586.0,4927.0,12080.0,Reinvestor
ADANIPORTS,2023.0,11900.0,-16716.0,-2734.0,-4816.0,5499.0,Reinvestor
ADANIPORTS,2024.0,15018.0,-6768.0,-7800.0,8250.0,-2949.0,Reinvestor
ADANIPOWER,2013.0,3001.0,-4064.0,861.0,-1063.0,0.0,Mixed
ADANIPOWER,2014.0,3238.0,-4700.0,1631.0,-1462.0,2355.0,Mixed
