source_file,table,rows_read,rows_loaded,rows_rejected,status
companies.xlsx,companies,92,92,0,OK
profitandloss.xlsx,profitandloss,1276,1164,112,REJECTED_ROWS
balancesheet.xlsx,balancesheet,1312,1214,98,REJECTED_ROWS
cashflow.xlsx,cashflow,1187,1079,108,REJECTED_ROWS
documents.xlsx,documents,1585,1441,144,REJECTED_ROWS
analysis.xlsx,analysis,20,16,4,REJECTED_ROWS
prosandcons.xlsx,prosandcons,16,14,2,REJECTED_ROWS
financial_ratios.xlsx,financial_ratios,1184,1148,36,REJECTED_ROWS
market_cap.xlsx,market_cap,552,546,6,REJECTED_ROWS
peer_groups.xlsx,peer_groups,56,55,1,REJECTED_ROWS
sectors.xlsx,sectors,92,91,1,REJECTED_ROWS
stock_prices.xlsx,stock_prices,5520,5460,60,REJECTED_ROWS
