==============================================================================
NIFTY 100 - SPRINT 2 DAY 13 RATIO EDGE CASE LOG
==============================================================================

FINANCIALS CARVE-OUT
------------------------------------------------------------------------------
Financials companies found: 23
Expected specification count: 19
Actual database count: 23
High leverage flags on Financials rows: 0
STATUS: PASS - Financials leverage warning suppression is working.

Financials companies:
  - AXISBANK
  - BAJAJFINSV
  - BAJAJHLDNG
  - BAJFINANCE
  - BANKBARODA
  - CANBK
  - CHOLAFIN
  - HDFCBANK
  - HDFCLIFE
  - ICICIBANK
  - ICICIGI
  - ICICIPRULI
  - INDUSINDBK
  - IRFC
  - JIOFIN
  - KOTAKBANK
  - LICI
  - PFC
  - PNB
  - RECLTD
  - SBILIFE
  - SBIN
  - SHRIRAMFIN

ROCE SOURCE COMPARISON
------------------------------------------------------------------------------
Anomaly threshold: absolute difference > 5 percentage points
ROCE anomalies found: 833

ABB | 2012 | calculated=36.3215 | source=46.0000 | difference=9.6785 | category=formula discrepancy
ABB | 2014 | calculated=29.8223 | source=46.0000 | difference=16.1777 | category=formula discrepancy
ABB | 2014 | calculated=29.8223 | source=46.0000 | difference=16.1777 | category=formula discrepancy
ABB | 2015 | calculated=25.0800 | source=46.0000 | difference=20.9200 | category=formula discrepancy
ABB | 2015 | calculated=25.0800 | source=46.0000 | difference=20.9200 | category=formula discrepancy
ABB | 2016 | calculated=19.6653 | source=46.0000 | difference=26.3347 | category=version difference
ABB | 2016 | calculated=19.6653 | source=46.0000 | difference=26.3347 | category=version difference
ABB | 2017 | calculated=16.9430 | source=46.0000 | difference=29.0570 | category=version difference
ABB | 2017 | calculated=16.9430 | source=46.0000 | difference=29.0570 | category=version difference
ABB | 2018 | calculated=13.8807 | source=46.0000 | difference=32.1193 | category=version difference
ABB | 2018 | calculated=13.8807 | source=46.0000 | difference=32.1193 | category=version difference
ABB | 2019 | calculated=11.7032 | source=46.0000 | difference=34.2968 | category=version difference
ABB | 2019 | calculated=11.7032 | source=46.0000 | difference=34.2968 | category=version difference
ABB | 2020 | calculated=9.0177 | source=46.0000 | difference=36.9823 | category=version difference
ABB | 2020 | calculated=9.0177 | source=46.0000 | difference=36.9823 | category=version difference
ABB | 2021 | calculated=8.5299 | source=46.0000 | difference=37.4701 | category=version difference
ABB | 2021 | calculated=8.5299 | source=46.0000 | difference=37.4701 | category=version difference
ABB | 2022 | calculated=7.9071 | source=46.0000 | difference=38.0929 | category=version difference
ABB | 2022 | calculated=7.9071 | source=46.0000 | difference=38.0929 | category=version difference
ABB | 2023 | calculated=7.1191 | source=46.0000 | difference=38.8809 | category=version difference
ABB | 2023 | calculated=7.1191 | source=46.0000 | difference=38.8809 | category=version difference
ABB | 2024 | calculated=6.2136 | source=46.0000 | difference=39.7864 | category=version difference
ABB | 2024 | calculated=6.2136 | source=46.0000 | difference=39.7864 | category=version difference
ADANIENSOL | 2014 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2015 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2016 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2017 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2018 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2019 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2020 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2021 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2022 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2023 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENSOL | 2024 | calculated=0.0000 | source=9.0000 | difference=9.0000 | category=formula discrepancy
ADANIENT | 2016 | calculated=23.9531 | source=11.6000 | difference=12.3531 | category=formula discrepancy
